latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
18.925,-70.36,302.2,2.3,1.5,2017-10-15,0230,T,48,6.0NRT,287.5,16.7,N
17.898,-92.496,303,1.6,1.2,2017-10-15,0410,T,43,6.0NRT,287.9,8.8,N
17.837,-93.122,321.9,1.8,1.3,2017-10-15,0410,T,100,6.0NRT,287.4,43.1,N
17.848,-93.124,307.9,1.8,1.3,2017-10-15,0410,T,73,6.0NRT,287.4,16.9,N
19.437,-92.035,306.8,1.4,1.2,2017-10-15,0410,T,48,6.0NRT,292.1,6.8,N
27.192,-90.028,325.8,1,1,2017-10-15,0410,T,100,6.0NRT,294,20.7,N
27.201,-90.03,313.1,1,1,2017-10-15,0410,T,81,6.0NRT,293.8,8.5,N
32.383,-89.021,306.1,1.1,1,2017-10-15,0410,T,67,6.0NRT,292.2,7.5,N
31.351,-96.169,305.1,1.5,1.2,2017-10-15,0410,T,63,6.0NRT,293.4,9.4,N
33.436,-88.567,304.2,1.2,1.1,2017-10-15,0410,T,59,6.0NRT,291.5,6.7,N
34.974,-91.731,306.4,1,1,2017-10-15,0415,T,68,6.0NRT,293.1,6.5,N
36.224,-118.438,318.8,1,1,2017-10-15,0550,T,97,6.0NRT,282.3,20.2,N
36.223,-118.449,370.9,1,1,2017-10-15,0550,T,100,6.0NRT,296.5,127.7,N
36.221,-118.46,406.3,1,1,2017-10-15,0550,T,100,6.0NRT,312.6,309.2,N
36.219,-118.472,411.7,1,1,2017-10-15,0550,T,100,6.0NRT,306,348.9,N
36.217,-118.483,332.5,1,1,2017-10-15,0550,T,100,6.0NRT,280.9,36,N
36.23,-118.456,353.9,1,1,2017-10-15,0550,T,100,6.0NRT,291,77.2,N
36.228,-118.468,382.1,1,1,2017-10-15,0550,T,100,6.0NRT,301.4,172,N
36.227,-118.479,339.8,1,1,2017-10-15,0550,T,100,6.0NRT,287.2,47.6,N
36.237,-118.47,305.8,1,1,2017-10-15,0550,T,29,6.0NRT,282.5,9.4,N
36.236,-118.481,355.5,1,1,2017-10-15,0550,T,100,6.0NRT,289.5,81.3,N
36.234,-118.493,386,1,1,2017-10-15,0550,T,100,6.0NRT,296.8,190.4,N
36.232,-118.504,381.9,1,1,2017-10-15,0550,T,100,6.0NRT,291.8,172.8,N
36.253,-118.426,306.2,1,1,2017-10-15,0550,T,67,6.0NRT,281.1,10.3,N
36.241,-118.506,324.6,1,1,2017-10-15,0550,T,100,6.0NRT,278.8,26.9,N
36.262,-118.428,312.8,1,1,2017-10-15,0550,T,86,6.0NRT,279.5,15.1,N
36.942,-118.878,305.5,1,1,2017-10-15,0550,T,65,6.0NRT,277.7,11.4,N
37.658,-119.564,304,1.1,1,2017-10-15,0555,T,58,6.0NRT,276.3,11.1,N
37.667,-119.566,328.4,1.1,1,2017-10-15,0555,T,100,6.0NRT,276.1,33.4,N
37.676,-119.569,325.1,1.1,1,2017-10-15,0555,T,57,6.0NRT,277.5,27.7,N
37.685,-119.571,305.5,1.1,1,2017-10-15,0555,T,25,6.0NRT,277.9,10.6,N
